version,user_name,date,time,product,is_success,num_files_created,missing_files_found,files_added_to_testng,error_msg,test_analyzed,ng_files_found,non_ng_files_found,total_files_with_descrepancies,total_files_without_descrepancies,passed_tests_with_no_ng_path,passed_tests_found_with_no_change,ng_files_overwritten,files_with_new_descrepencies
1.4,yaels,2024-02-20,15:38:05,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-20,15:45:30,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-20,16:31:23,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,davidbe,2024-02-20,17:15:00,Refactor_Tests,True,0,,,,1,1,0,,,,,,
1.4,davidbe,2024-02-20,17:27:25,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,idob,2024-02-20,17:59:32,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-21,10:16:26,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,davidbe,2024-02-21,10:20:59,Refactor_Tests,True,0,,,,5,4,1,,,,,,
1.4,davidbe,2024-02-21,10:22:38,Refactor_Tests,True,4,,,,4,4,0,,,,,,
1.4,idob,2024-02-21,11:36:19,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,idob,2024-02-21,11:45:03,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,idob,2024-02-21,12:16:37,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-21,12:46:17,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-21,16:00:09,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-22,11:00:31,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-22,12:16:38,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,idob,2024-02-22,12:18:55,Refactor_Tests,True,2,,,,2,0,2,,,,,,
1.4,yaels,2024-02-22,12:36:22,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-22,13:33:49,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-22,15:01:19,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-22,15:14:24,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-22,16:04:01,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-25,08:40:04,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-25,09:46:47,Refactor_Tests,True,0,,,,1,1,0,,,,,,
1.4,yaels,2024-02-25,09:47:54,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-25,09:49:21,Refactor_Tests,True,0,,,,1,1,0,,,,,,
1.4,rona,2024-02-25,11:38:00,Refactor_Tests,True,0,,,,8,7,1,,,,,,
1.4,yaels,2024-02-25,12:53:15,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,davidbe,2024-02-26,08:32:12,Discrepancy_Tracker,True,,,,,918,,,545,373,C:\Users\davidbe\AppData\Local\RefactoringAssistant\output\tests_marked_as_passed_but_missing_ng_path.txt,,,
1.4,rona,2024-02-26,11:12:38,Refactor_Tests,True,0,,,,12,10,2,,,,,,
1.5,davidbe,2024-02-26,13:47:16,Test_List_Compare,True,,252,,,2451,,,,,,,,
1.4,hadark,2024-02-26,14:11:50,Refactor_Tests,True,61,,,,77,44,33,,,,,,
1.4,shaharh,2024-02-26,16:10:21,Refactor_Tests,True,0,,,,134,85,49,,,,,,
1.4,yaels,2024-02-28,08:16:37,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,shaharh,2024-02-28,10:11:14,Refactor_Tests,False,,,,"An Error occured: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\shaharh\\AppData\\Local\\RefactoringAssistant\\output'
Traceback:
Traceback (most recent call last):
  File ""src\main_refactoring_assistant\main-RefactoringAssistant.py"", line 44, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 12, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 46, in init_params
  File ""src\gen_files\gen_scripts.py"", line 70, in clear_create_dir
  File ""os.py"", line 225, in makedirs
FileExistsError: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\shaharh\\AppData\\Local\\RefactoringAssistant\\output'
",,,,,,,,,
1.4,davidbe,2024-02-28,10:14:32,Refactor_Tests,True,0,,,,13,12,1,,,,,,
1.4,yaels,2024-02-28,11:05:49,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-28,12:46:55,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,davidbe,2024-02-28,13:04:05,Refactor_Tests,True,0,,,,50,38,12,,,,,,
1.4,davidbe,2024-02-28,14:15:31,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,davidbe,2024-02-28,14:51:06,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-29,08:38:49,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-29,10:18:52,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-29,14:56:14,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-29,15:05:51,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-29,16:33:45,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-29,17:08:48,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-03-03,08:12:46,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-03-03,09:26:30,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-03-03,10:04:09,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-03-03,10:14:16,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-03-03,13:19:51,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,U6066742,2024-03-03,16:08:11,Refactor_Tests,True,11,,,,12,9,3,,,,,,
1.5,davidbe,2024-03-04,10:35:23,Discrepancy_Tracker,True,,,,,981,,,460,521,59,,,
1.5,davidbe,2024-03-04,10:38:43,Discrepancy_Tracker,True,,,,,1011,,,489,522,30,,,
1.7,zalmanr,2024-03-04,14:01:18,Refactor_Tests,True,41,,,,41,0,41,,,,,,
1.7,davidbe,2024-03-04,14:02:14,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,davidbe,2024-03-04,14:08:37,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,davidbe,2024-03-04,14:23:33,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-03-04,16:16:03,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-03-05,09:19:13,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,rona,2024-03-05,09:52:11,Refactor_Tests,True,14,,,,14,7,7,,,,,,
1.4,yaels,2024-03-06,12:18:02,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,davidbe,2024-03-06,13:42:25,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.7,davidbe,2024-03-06,15:07:44,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,davidbe,2024-03-06,15:25:47,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,davidbe,2024-03-06,16:10:41,Refactor_Tests,True,0,,,,64,4,60,,,,,,
1.7,davidbe,2024-03-06,16:26:38,Refactor_Tests,True,0,,,,168,9,159,,,,,,
1.7,davidbe,2024-03-06,16:30:25,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,yaels,2024-03-07,09:34:26,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,yaels,2024-03-07,10:30:40,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.7,zalmanr,2024-03-07,11:42:55,Refactor_Tests,True,0,,,,19,9,10,,,,,,
1.7,zalmanr,2024-03-07,11:47:58,Refactor_Tests,False,,,,"An Error occured: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
Traceback:
Traceback (most recent call last):
  File ""src\main_refactoring_assistant\main-RefactoringAssistant.py"", line 44, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 12, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 47, in init_params
  File ""src\gen_files\gen_scripts.py"", line 71, in clear_create_dir
  File ""os.py"", line 225, in makedirs
FileExistsError: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
",,,,,,,,,
1.7,zalmanr,2024-03-07,11:48:02,Refactor_Tests,False,,,,"An Error occured: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
Traceback:
Traceback (most recent call last):
  File ""src\main_refactoring_assistant\main-RefactoringAssistant.py"", line 44, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 12, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 47, in init_params
  File ""src\gen_files\gen_scripts.py"", line 71, in clear_create_dir
  File ""os.py"", line 225, in makedirs
FileExistsError: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
",,,,,,,,,
1.7,zalmanr,2024-03-07,11:48:39,Refactor_Tests,False,,,,"An Error occured: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
Traceback:
Traceback (most recent call last):
  File ""src\main_refactoring_assistant\main-RefactoringAssistant.py"", line 44, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 12, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 47, in init_params
  File ""src\gen_files\gen_scripts.py"", line 71, in clear_create_dir
  File ""os.py"", line 225, in makedirs
FileExistsError: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
",,,,,,,,,
1.7,zalmanr,2024-03-07,11:48:49,Refactor_Tests,False,,,,"An Error occured: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
Traceback:
Traceback (most recent call last):
  File ""src\main_refactoring_assistant\main-RefactoringAssistant.py"", line 44, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 12, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 47, in init_params
  File ""src\gen_files\gen_scripts.py"", line 71, in clear_create_dir
  File ""os.py"", line 225, in makedirs
FileExistsError: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
",,,,,,,,,
1.7,zalmanr,2024-03-07,11:49:07,Refactor_Tests,False,,,,"An Error occured: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
Traceback:
Traceback (most recent call last):
  File ""src\main_refactoring_assistant\main-RefactoringAssistant.py"", line 44, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 12, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 47, in init_params
  File ""src\gen_files\gen_scripts.py"", line 71, in clear_create_dir
  File ""os.py"", line 225, in makedirs
FileExistsError: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
",,,,,,,,,
1.7,zalmanr,2024-03-07,11:49:11,Refactor_Tests,False,,,,"An Error occured: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
Traceback:
Traceback (most recent call last):
  File ""src\main_refactoring_assistant\main-RefactoringAssistant.py"", line 44, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 12, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 47, in init_params
  File ""src\gen_files\gen_scripts.py"", line 71, in clear_create_dir
  File ""os.py"", line 225, in makedirs
FileExistsError: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
",,,,,,,,,
1.7,zalmanr,2024-03-07,11:49:12,Refactor_Tests,False,,,,"An Error occured: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
Traceback:
Traceback (most recent call last):
  File ""src\main_refactoring_assistant\main-RefactoringAssistant.py"", line 44, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 12, in main_script
  File ""src\refactor_tests\main_refactor_tests.py"", line 47, in init_params
  File ""src\gen_files\gen_scripts.py"", line 71, in clear_create_dir
  File ""os.py"", line 225, in makedirs
FileExistsError: [WinError 183] Cannot create a file when that file already exists: 'C:\\Users\\zalmanr\\AppData\\Local\\RefactoringAssistant\\output'
",,,,,,,,,
